"entity","tTestQVal","inContextMean","outGroupMean","effectSize","fractionInContextLinesDependent","fractionOutGroupLinesDependent","selectivityVal"
"ACLY (47)","0","-0.791","-0.467","-0.324","0.828","0.446","0.777"
"ACO2 (50)","0","-1.008","-0.745","-0.263","0.925","0.651","0.82"
"ACSL4 (2182)","0","-0.423","-0.105","-0.318","0.376","0.052","1.04"
"ADSL (158)","0","-1.634","-0.961","-0.673","1","0.726","2"
"ADSS2 (159)","0","-0.949","-0.476","-0.473","0.935","0.42","1.302"
"AHCY (191)","0","-1.293","-0.849","-0.444","0.968","0.823","0.811"
"AK2 (204)","0","-0.717","-0.233","-0.484","0.785","0.07","1.683"
"ALAD (210)","0","-0.372","-0.072","-0.301","0.29","0.034","1.067"
"ALAS1 (211)","0","-0.425","-0.122","-0.303","0.409","0.043","1.187"
"AP2M1 (1173)","0","-1.1","-0.728","-0.372","0.989","0.727","1.538"
"AP2S1 (1175)","0","-1.142","-0.742","-0.4","0.946","0.725","0.825"
"ARHGAP45 (23526)","0","-0.348","-0.026","-0.322","0.312","0.013","1.543"
"ARID1A (8289)","0","-0.492","-0.24","-0.252","0.516","0.194","0.647"
"ATIC (471)","0","-0.934","-0.384","-0.55","0.86","0.317","1.122"
"ATP1B3 (483)","0","-1.087","-0.337","-0.75","0.892","0.236","1.429"
"ATP6AP1 (537)","0","-1.483","-1.159","-0.324","0.989","0.933","0.819"
"ATP6AP2 (10159)","0","-1.209","-0.924","-0.285","0.968","0.884","0.596"
"BCL2 (596)","0","-0.257","0.006","-0.263","0.215","0.017","1.19"
"CAB39 (51719)","0","-0.576","-0.194","-0.382","0.602","0.212","0.75"
"CAD (790)","0","-0.891","-0.424","-0.467","0.817","0.345","0.929"
"CARM1 (10498)","0","-0.617","-0.317","-0.3","0.602","0.254","0.647"
"CARS2 (79587)","0","-0.568","-0.294","-0.273","0.516","0.252","0.501"
"CBFB (865)","0","-0.918","-0.188","-0.73","0.753","0.173","1.163"
