"entity","tTestQVal","inContextMean","outGroupMean","effectSize","fractionInContextLinesDependent","fractionOutGroupLinesDependent","selectivityVal"
"ABL1 (25)","0","-0.355","-0.029","-0.326","0.209","0.004","1.78"
"ACSL4 (2182)","0","-0.426","-0.119","-0.306","0.302","0.069","0.766"
"ADSL (158)","0","-1.637","-0.99","-0.646","1","0.738","2"
"ADSS2 (159)","0","-0.833","-0.501","-0.332","0.837","0.446","0.805"
"AHCY (191)","0.001","-1.138","-0.874","-0.263","0.953","0.829","0.625"
"AP2M1 (1173)","0","-1.135","-0.743","-0.393","0.977","0.739","1.171"
"AP2S1 (1175)","0","-1.4","-0.75","-0.65","1","0.732","2"
"ATIC (471)","0","-0.711","-0.417","-0.294","0.651","0.349","0.542"
"ATP1B3 (483)","0","-0.892","-0.377","-0.515","0.814","0.268","1.078"
"BCR (613)","0","-0.262","0.066","-0.328","0.186","0","2"
"CAB39 (51719)","0","-0.535","-0.212","-0.323","0.581","0.23","0.667"
"CAD (790)","0","-0.837","-0.447","-0.391","0.767","0.367","0.754"
"CBFB (865)","0","-1.198","-0.209","-0.989","0.884","0.193","1.501"
"CCND3 (896)","0","-0.859","-0.324","-0.535","0.721","0.171","1.099"
"CDAN1 (146059)","0","-1.49","-0.992","-0.498","0.907","0.78","0.441"
"CDK6 (1021)","0","-1.123","-0.572","-0.551","0.791","0.512","0.557"
"CDS2 (8760)","0","-0.707","-0.317","-0.39","0.674","0.275","0.738"
"CEBPA (1050)","0","-0.478","-0.151","-0.327","0.395","0.031","1.303"
"CFL1 (1072)","0","-1.148","-0.72","-0.428","0.953","0.639","1.064"
"CITED2 (10370)","0","-0.469","-0.181","-0.288","0.442","0.08","0.962"
"CMIP (80790)","0","-0.82","-0.36","-0.46","0.674","0.29","0.704"
"CSF2RB (1439)","0","-0.309","-0.058","-0.251","0.186","0","2"
"CTPS1 (1503)","0","-1.193","-0.728","-0.465","0.953","0.637","1.068"
"CYB5B (80777)","0","-0.72","-0.335","-0.385","0.581","0.234","0.657"
"DHFR (1719)","0.001","-1.157","-0.825","-0.332","0.837","0.64","0.463"
"DHODH (1723)","0","-0.775","-0.417","-0.358","0.767","0.313","0.86"
"DLD (1738)","0","-0.549","-0.271","-0.279","0.605","0.223","0.726"
"DLST (1743)","0","-0.624","-0.324","-0.3","0.767","0.269","0.954"
"DNM2 (1785)","0","-1.834","-1.161","-0.673","1","0.884","2"
"DTYMK (1841)","0.001","-1.996","-1.593","-0.404","1","0.931","2"
"EMC3 (55831)","0","-1.344","-0.881","-0.463","0.977","0.804","1.01"
"EMC6 (83460)","0","-0.548","-0.254","-0.293","0.535","0.219","0.614"
"ENO1 (2023)","0","-0.811","-0.54","-0.271","0.744","0.535","0.404"
"EP300 (2033)","0.004","-0.592","-0.319","-0.273","0.605","0.326","0.499"
"FAM50A (9130)","0.005","-0.984","-0.678","-0.306","0.767","0.523","0.478"
"FBXO7 (25793)","0","-0.354","-0.098","-0.255","0.372","0.053","1.022"
"FDPS (2224)","0","-1.058","-0.769","-0.29","0.977","0.739","1.171"
"FECH (2235)","0","-0.741","-0.472","-0.269","0.698","0.399","0.541"
"FLI1 (2313)","0","-0.317","-0.054","-0.262","0.326","0.038","1.081"
"FPGS (2356)","0","-0.908","-0.538","-0.37","0.884","0.439","0.987"
"GAB2 (9846)","0","-0.517","-0.202","-0.315","0.326","0.066","0.837"
"GART (2618)","0","-0.707","-0.353","-0.355","0.698","0.311","0.709"
"GCLC (2729)","0","-0.328","-0.072","-0.255","0.302","0.058","0.849"
"GFI1 (2672)","0","-0.301","-0.003","-0.298","0.326","0.004","2.041"
"GFPT1 (2673)","0","-0.891","-0.554","-0.338","0.884","0.493","0.894"
"GMPS (8833)","0","-1.36","-0.974","-0.386","0.977","0.767","1.105"
"H2AZ1 (3015)","0","-1.036","-0.762","-0.274","0.93","0.806","0.507"
"IPPK (64768)","0","-0.813","-0.439","-0.374","0.814","0.359","0.893"
"IRF2BP2 (359948)","0","-0.561","-0.153","-0.408","0.442","0.147","0.662"
"IRF8 (3394)","0","-0.182","0.068","-0.25","0.186","0.005","1.637"
"LDB1 (8861)","0","-0.716","-0.238","-0.478","0.651","0.128","1.105"
